,除權除息日期,股票代號,名稱,除權息,無償配股率,現金增資配股率,現金增資認購價,現金股利,詳細資料,參考價試算,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
0,112年06月20日,00710B,復華彭博非投等債,息,0.00000000,0.00000000,0.00000000,0.26000000,"00710B,20230620",",0.26000000,0.00000000,0.00000000,0.00000000",112年06月13日(https://mops.twse.com.tw/mops/web/t112sb01_q5),17.96,N/A
1,112年06月20日,00711B,復華彭博新興債,息,0.00000000,0.00000000,0.00000000,0.19000000,"00711B,20230620",",0.19000000,0.00000000,0.00000000,0.00000000",112年06月13日(https://mops.twse.com.tw/mops/web/t112sb01_q5),16.00,N/A
2,112年06月20日,00712,復華富時不動產,息,0.00000000,0.00000000,0.00000000,0.27000000,"00712,20230620",",0.27000000,0.00000000,0.00000000,0.00000000",112年06月13日(https://mops.twse.com.tw/mops/web/t112sb01_q5),9.84,N/A
3,112年06月16日,00713,元大台灣高息低波,息,0.00000000,0.00000000,0.00000000,0.68000000,"00713,20230616",",0.68000000,0.00000000,0.00000000,0.00000000",112年06月14日(https://mops.twse.com.tw/mops/web/t78sb35),46.02,N/A
4,112年06月16日,00896,中信綠能及電動車,息,0.00000000,0.00000000,0.00000000,0.15000000,"00896,20230616",",0.15000000,0.00000000,0.00000000,0.00000000",112年06月14日(https://mops.twse.com.tw/mops/web/t78sb35),16.29,N/A
5,112年06月16日,00907,永豐優息存股,息,0.00000000,0.00000000,0.00000000,0.07400000,"00907,20230616",",0.07400000,0.00000000,0.00000000,0.00000000",112年06月14日(https://mops.twse.com.tw/mops/web/t78sb35),15.05,N/A
6,112年06月02日,00915,凱基優選高股息30,息,0.00000000,0.00000000,0.00000000,0.32000000,"00915,20230616",",0.32000000,0.00000000,0.00000000,0.00000000",112年06月14日(https://mops.twse.com.tw/mops/web/t78sb35),18.74,N/A
7,112年06月16日,00916,國泰全球品牌50,息,0.00000000,0.00000000,0.00000000,0.17000000,"00916,20230616",",0.17000000,0.00000000,0.00000000,0.00000000",112年06月13日(https://mops.twse.com.tw/mops/web/t112sb01_q5),17.69,N/A
8,112年06月16日,00918,大華優利高填息30,息,0.00000000,0.00000000,0.00000000,0.20000000,"00918,20230616",",0.20000000,0.00000000,0.00000000,0.00000000",112年06月14日(https://mops.twse.com.tw/mops/web/t78sb35),19.53,N/A
9,112年06月16日,00919,群益台灣精選高息,息,0.00000000,0.00000000,0.00000000,0.54000000,"00919,20230616",",0.54000000,0.00000000,0.00000000,0.00000000",112年06月14日(https://mops.twse.com.tw/mops/web/t78sb35),20.15,N/A
10,112年06月21日,00921,兆豐龍頭等權重,息,0.00000000,0.00000000,0.00000000,尚未公告,"00921,20230621",,112年06月14日(https://mops.twse.com.tw/mops/web/t78sb35),17.60,N/A
11,112年07月04日,1218,泰山,息,0.00000000,0.00000000,0.00000000,4.00000000,"1218,20230704",",4.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),25.90,-0.14
12,112年06月27日,1232,大統益,息,0.00000000,0.00000000,0.00000000,6.00000000,"1232,20230627",",6.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),34.38,2.17
13,112年07月13日,1233,天仁,息,0.00000000,0.00000000,0.00000000,0.85000000,"1233,20230713",",0.85000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),15.42,0.35
14,112年07月10日,1234,黑松,息,0.00000000,0.00000000,0.00000000,1.80000000,"1234,20230710",",1.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),44.33,0.47
15,112年07月13日,1236,宏亞,息,0.00000000,0.00000000,0.00000000,1.00000000,"1236,20230713",",1.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),25.23,0.03
16,112年07月19日,1256,鮮活果汁-KY,息,0.00000000,0.00000000,0.00000000,6.50000000,"1256,20230719",",6.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),109.88,1.34
17,112年06月27日,1301,台塑,息,0.00000000,0.00000000,0.00000000,4.20000000,"1301,20230627",",4.20000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),54.03,0.37
18,112年06月29日,1303,南亞,息,0.00000000,0.00000000,0.00000000,3.00000000,"1303,20230629",",3.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),44.89,0.11
19,112年07月03日,1307,三芳,息,0.00000000,0.00000000,0.00000000,0.80000000,"1307,20230703",",0.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),20.85,0.40
20,112年06月26日,1319,東陽,息,0.00000000,0.00000000,0.00000000,2.50000000,"1319,20230626",",2.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),41.20,0.83
21,112年06月19日,1323,永裕,息,0.00000000,0.00000000,0.00000000,1.10000000,"1323,20230619",",1.10000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),26.28,0.30
22,112年06月14日,1326,台化,息,0.00000000,0.00000000,0.00000000,0.95000000,"1326,20230614",",0.95000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),56.98,-0.13
23,112年07月04日,1410,南染,息,0.00000000,0.00000000,0.00000000,0.80000000,"1410,20230704",",0.80000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),16.85,0.09
24,112年06月14日,1414,東和,息,0.00000000,0.00000000,0.00000000,0.32000000,"1414,20230614",",0.32000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),13.94,-0.04
25,112年06月16日,1416,廣豐,息,0.00000000,0.00000000,0.00000000,0.50000000,"1416,20230616",",0.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),19.36,-0.01
