,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0,0050,元大台灣50,"18,651,089","31,456","3,100,147,680",166.20,166.95,165.50,165.75,<p style= color:red>+</p>,3.85,165.75,107,165.80,128,0.00
1,0051,元大中型100,"40,477",299,"2,747,747",68.00,68.10,67.60,67.90,<p style= color:red>+</p>,1.40,67.90,1,68.00,3,0.00
2,0052,富邦科技,"921,194","1,091","147,688,687",160.40,161.20,159.90,160.00,<p style= color:red>+</p>,4.55,160.00,9,160.05,1,0.00
3,0053,元大電子,"9,407",117,"825,563",88.00,88.15,87.60,87.60,<p style= color:red>+</p>,2.10,87.55,1,87.60,1,0.00
4,0055,元大MSCI金融,"149,111",298,"3,885,328",25.91,26.12,25.91,26.12,<p style= color:red>+</p>,0.27,26.09,2,26.12,3,0.00
5,0056,元大高股息,"40,889,839","22,136","1,306,718,776",31.90,32.13,31.86,31.97,<p style= color:red>+</p>,0.51,31.97,75,31.98,146,0.00
6,0057,富邦摩台,"17,485",122,"2,165,745",124.40,124.40,123.85,124.30,<p style= color:red>+</p>,3.45,123.45,20,124.10,20,0.00
7,0061,元大寶滬深,"97,523",119,"1,827,492",18.72,18.77,18.68,18.75,<p style= color:red>+</p>,0.09,18.73,3,18.75,48,0.00
8,006203,元大MSCI台灣,"8,300",108,"640,287",77.75,77.75,77.10,77.60,<p style= color:red>+</p>,2.40,76.95,1,77.15,1,0.00
9,006204,永豐臺灣加權,"14,726",72,"1,484,814",101.00,101.00,100.55,100.80,<p style= color:red>+</p>,2.25,100.15,20,100.85,20,0.00
10,006205,富邦上証,"184,238",326,"5,967,477",32.36,32.46,32.32,32.34,<p style= color:green>-</p>,0.02,32.32,2,32.35,4,0.00
11,006206,元大上證50,"151,769",267,"4,744,801",31.30,31.37,31.21,31.29,<p style= color:green>-</p>,0.05,31.29,90,31.31,82,0.00
12,006207,復華滬深,"11,174",7,"272,614",24.40,24.44,24.39,24.44,<p style= color:red>+</p>,0.10,24.35,100,24.37,1,0.00
13,006208,富邦台50,"8,154,926","11,203","796,849,637",97.70,98.20,97.30,97.50,<p style= color:red>+</p>,2.40,97.50,10,97.55,38,0.00
14,00625K,富邦上証+R,0,0,0,--,--,--,--,<p> </p>,0.00,7.24,5,7.33,5,0.00
15,00631L,元大台灣50正2,"11,670,022","7,659","1,944,677,217",167.70,168.00,165.30,165.60,<p style= color:red>+</p>,7.00,165.60,23,165.65,3,0.00
16,00632R,元大台灣50反1,"79,706,478","12,149","1,999,658,435",25.04,25.23,24.98,25.17,<p style= color:green>-</p>,0.57,25.17,26,25.18,55,0.00
17,00633L,富邦上証正2,"4,441,736",569,"168,807,890",38.16,38.32,37.74,37.74,<p style= color:green>-</p>,0.25,37.74,328,37.75,1,0.00
18,00634R,富邦上証反1,"504,999",40,"1,997,876",3.96,3.97,3.95,3.96,<p> </p>,0.00,3.96,699,3.98,699,0.00
